Latitude,Longitude,,,,,
55.92873N,3.49479W,,,,,
55.92873N,3.49479W,,,,,
55.92873N,3.49479W,,,,,
55.92872N,3.49481W,,,,,
55.92872N,3.49481W,,,,,
55.92871N,3.49479W,,,,,
55.92871N,3.49479W,,,,,
55.92871N,3.49478W,,,,,
55.92871N,3.49477W,,,,,
55.92871N,3.49478W,,,,,
55.92873N,3.49476W,,,,,
55.92873N,3.49471W,,,,,
55.92871N,3.49473W,,,,,
55.92875N,3.49477W,,,,,
55.92871N,3.49465W,,,,,
55.92869N,3.49464W,,,,,
55.9285N,3.49429W,,,,,
55.92815N,3.49439W,,,,,
55.92816N,3.49506W,,,,,
55.92905N,3.49624W,,,,,
55.93044N,3.49698W,,,,,
55.93152N,3.49791W,,,,,
55.93153N,3.49791W,,,,,
55.9319N,3.49599W,,,,,
55.93225N,3.4926W,,,,,
55.93261N,3.48905W,,,,,
55.93291N,3.48617W,,,,,
55.933N,3.48507W,,,,,
55.93303N,3.48484W,,,,,
55.93237N,3.48459W,,,,,
55.93211N,3.48524W,,,,,
55.93211N,3.48529W,,,,,
55.93202N,3.48553W,,,,,
55.93234N,3.48607W,,,,,
55.93243N,3.48548W,,,,,
55.93234N,3.48509W,,,,,
55.93235N,3.48508W,,,,,
55.93229N,3.48509W,,,,,
55.93231N,3.48508W,,,,,
55.9323N,3.48509W,,,,,
55.9323N,3.4851W,,,,,
55.9323N,3.48511W,,,,,
55.9323N,3.4851W,,,,,
55.93219N,3.48529W,,,,,
55.93232N,3.48463W,,,,,
55.93308N,3.48452W,,,,,
55.9333N,3.48238W,,,,,
55.9333N,3.48234W,,,,,
55.93359N,3.47952W,,,,,
55.93391N,3.47594W,,,,,
55.93412N,3.47313W,,,,,
55.93425N,3.47076W,,,,,
55.93428N,3.47042W,,,,,
55.93428N,3.47051W,,,,,
55.93428N,3.47044W,,,,,
55.93426N,3.47046W,,,,,
55.93425N,3.4705W,,,,,
55.93425N,3.47049W,,,,,
55.93424N,3.4705W,,,,,
55.93423N,3.47053W,,,,,
55.93422N,3.47054W,,,,,
55.93422N,3.47053W,,,,,
55.93421N,3.47054W,,,,,
55.93426N,3.47047W,,,,,
55.93424N,3.47043W,,,,,
55.93424N,3.47011W,,,,,
55.93427N,3.46983W,,,,,
55.93503N,3.46966W,,,,,
55.93669N,3.47004W,,,,,
55.93862N,3.47045W,,,,,
55.94087N,3.47092W,,,,,
55.94303N,3.47232W,,,,,
55.94513N,3.47412W,,,,,
55.9452N,3.47639W,,,,,
55.94494N,3.48033W,,,,,
55.94454N,3.48416W,,,,,
55.94395N,3.48867W,,,,,
55.94336N,3.49326W,,,,,
55.94289N,3.49745W,,,,,
55.94175N,3.50204W,,,,,
55.9414N,3.50696W,,,,,
55.9406N,3.50916W,,,,,
55.94058N,3.50922W,,,,,
55.9422N,3.50855W,,,,,
55.94465N,3.50792W,,,,,
55.94695N,3.50905W,,,,,
55.94899N,3.50943W,,,,,
55.95128N,3.51039W,,,,,
55.95376N,3.5096W,,,,,
55.95671N,3.50938W,,,,,
55.96006N,3.50895W,,,,,
55.96319N,3.50918W,,,,,
55.96507N,3.50962W,,,,,
55.96524N,3.50832W,,,,,
55.96683N,3.50734W,,,,,
55.96938N,3.50727W,,,,,
55.97186N,3.50823W,,,,,
55.97371N,3.50865W,,,,,
55.97414N,3.50855W,,,,,
55.97522N,3.50687W,,,,,
55.9764N,3.50625W,,,,,
55.97826N,3.50825W,,,,,
55.98037N,3.50918W,,,,,
55.98254N,3.50968W,,,,,
55.98349N,3.50988W,,,,,
55.98326N,3.50656W,,,,,
55.98173N,3.50139W,,,,,
55.98027N,3.49615W,,,,,
55.97944N,3.49051W,,,,,
55.97943N,3.48788W,,,,,
55.97949N,3.48816W,,,,,
55.97951N,3.48816W,,,,,
55.97942N,3.48814W,,,,,
55.97944N,3.4881W,,,,,
55.97943N,3.48811W,,,,,
55.97943N,3.4881W,,,,,
55.97944N,3.48787W,,,,,
55.97919N,3.48793W,,,,,
55.97915N,3.48853W,,,,,
55.97985N,3.49347W,,,,,
55.98077N,3.49919W,,,,,
55.98291N,3.50412W,,,,,
55.98357N,3.51024W,,,,,
55.98427N,3.51569W,,,,,
55.98442N,3.52162W,,,,,
55.98558N,3.5269W,,,,,
55.98699N,3.5325W,,,,,
55.98826N,3.53812W,,,,,
55.98956N,3.54348W,,,,,
55.99105N,3.54904W,,,,,
55.99227N,3.55438W,,,,,
55.99297N,3.55927W,,,,,
55.99307N,3.56113W,,,,,
55.99436N,3.56122W,,,,,
55.9946N,3.55793W,,,,,
55.99448N,3.55489W,,,,,
55.99551N,3.55148W,,,,,
55.99663N,3.54775W,,,,,
55.99794N,3.54429W,,,,,
55.99844N,3.54053W,,,,,
55.99873N,3.5369W,,,,,
55.99874N,3.5361W,,,,,
55.99874N,3.53606W,,,,,
55.99875N,3.53594W,,,,,
55.99875N,3.53593W,,,,,
55.99891N,3.53343W,,,,,
55.9993N,3.52969W,,,,,
56.0007N,3.52819W,,,,,
56.00277N,3.52645W,,,,,
56.003N,3.52332W,,,,,
56.00371N,3.52206W,,,,,
56.00411N,3.52043W,,,,,
56.00447N,3.51877W,,,,,
56.00521N,3.51734W,,,,,
56.0056N,3.51687W,,,,,
56.00571N,3.51692W,,,,,
56.0057N,3.51691W,,,,,
56.00566N,3.51683W,,,,,
56.00562N,3.51686W,,,,,
56.00547N,3.51693W,,,,,
56.00546N,3.51688W,,,,,
